Time	Open	High	Low	Close	Volume
2024.10.10 22:30	1.09256	1.09337	1.09256	1.09333	1254
2024.10.10 23:00	1.09338	1.09367	1.09333	1.09358	574
2024.10.10 23:30	1.09357	1.09366	1.0933	1.09363	355
2024.10.11 00:00	1.09226	1.09344	1.09226	1.09325	53
2024.10.11 00:30	1.09325	1.09362	1.09324	1.09339	217
2024.10.11 01:00	1.09339	1.09354	1.0931899999999999	1.09327	300
2024.10.11 01:30	1.09326	1.09334	1.0932	1.09328	245
2024.10.11 02:00	1.09328	1.09333	1.09314	1.0931899999999999	291
2024.10.11 02:30	1.0931899999999999	1.09335	1.0931899999999999	1.09326	285
2024.10.11 03:00	1.09324	1.0935	1.0931	1.0933	717
2024.10.11 03:30	1.09331	1.09369	1.09326	1.09364	742
2024.10.11 04:00	1.09364	1.09369	1.09329	1.09332	810
2024.10.11 04:30	1.09331	1.09331	1.09286	1.0930900000000001	922
2024.10.11 05:00	1.09308	1.09344	1.09299	1.09331	523
2024.10.11 05:30	1.09332	1.09367	1.09321	1.09358	551
2024.10.11 06:00	1.09358	1.09389	1.09353	1.09387	480
2024.10.11 06:30	1.09386	1.09398	1.09369	1.09386	398
2024.10.11 07:00	1.09387	1.09396	1.09365	1.09366	359
2024.10.11 07:30	1.09367	1.09369	1.09342	1.09346	368
2024.10.11 08:00	1.09346	1.09355	1.09331	1.09345	338
2024.10.11 08:30	1.09346	1.0937000000000001	1.09316	1.09345	442
2024.10.11 09:00	1.09345	1.09368	1.09314	1.09365	773
2024.10.11 09:30	1.09366	1.09396	1.09318	1.09391	1313
2024.10.11 10:00	1.09388	1.09417	1.09312	1.0936	1249
2024.10.11 10:30	1.09359	1.09445	1.09339	1.09436	965
2024.10.11 11:00	1.09435	1.09491	1.09407	1.09481	958
2024.10.11 11:30	1.09481	1.09528	1.09452	1.09485	1153
2024.10.11 12:00	1.09485	1.095	1.0945	1.09456	856
2024.10.11 12:30	1.09455	1.09469	1.09371	1.09379	1022
2024.10.11 13:00	1.09378	1.09384	1.09341	1.09342	990
2024.10.11 13:30	1.09341	1.09368	1.093	1.09341	1027
2024.10.11 14:00	1.0934	1.09352	1.09264	1.09277	1050
2024.10.11 14:30	1.09278	1.09332	1.0927	1.09298	1098
2024.10.11 15:00	1.09302	1.09411	1.09302	1.09403	1240
2024.10.11 15:30	1.09383	1.09496	1.09251	1.0932	3602
2024.10.11 16:00	1.0932	1.09373	1.09271	1.09327	2066
2024.10.11 16:30	1.09328	1.09394	1.0932	1.09373	2460
2024.10.11 17:00	1.09376	1.09463	1.09327	1.0942	2627
2024.10.11 17:30	1.0942	1.09481	1.09405	1.09419	1918
2024.10.11 18:00	1.09417	1.09501	1.09414	1.09489	1535
2024.10.11 18:30	1.09493	1.09514	1.094	1.09403	1284
2024.10.11 19:00	1.09403	1.09465	1.09393	1.09451	850
2024.10.11 19:30	1.09449	1.09458	1.09416	1.09438	775
2024.10.11 20:00	1.09438	1.09464	1.0942	1.0943100000000001	934
2024.10.11 20:30	1.09432	1.09445	1.09416	1.09425	756
